route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
1,1,A,CARRERE - ALMADIES BKL,,3,145CC0,FFFFFF
2,1,B,MAHAULT - ALMADIES BKL,,3,E21033,FFFFFF
3,1,110,RECTORAT  CAMPUS POINTE SIMON,,3,0E48F8,000000
5,1,1,CITE DILLON - GARE CLEMENCEAU,,3,76B92A,000000
6,1,3,CHATEAUBOEUF - GARE CLEMENCEAU,,3,E93C3E,000000
7,1,5,FONTAINE MOUTTE - NARDAL,,3,81ABDC,000000
8,1,11,JAMBETTE CLEMENCEAU,,3,6AC0AB,000000
9,1,2,MFME GARE CLEMENCEAU,,3,DDBB13,000000
10,1,4,LECORNU VOLGA PLAGE,,3,E0BB15,000000
11,1,8,CALEBASSE RENEVILLE CLEMENCEAU,,3,AAAA1E,000000
13,1,12,TRENELLE CLEMENCEAU,,3,F4BFDA,000000
14,1,13,TEXACO ALIKER,,3,77308A,FFFFFF
15,1,14,BOUCLE CLARAC,,3,77308A,FFFFFF
16,1,15,LA FERME NARDAL,,3,E93C4C,000000
17,1,16,REGAL SAUVEUR NARDAL,,3,B57CB5,000000
18,1,18,FOND CACAO NARDAL,,3,EDBF18,000000
19,1,19,GODISSARD ALIKER,,3,368638,FFFFFF
20,1,20,SACRE COEUR ALIKER,,3,302B74,FFFFFF
21,1,22,TIVOLI ALIKER,,3,741A52,FFFFFF
22,1,21,BOIS THIBAULT ALIKER,,3,EDBD19,000000
23,1,24,ANCIENNE ROUTE DE SCHOELCHER ALIKER,,3,E7BB1C,000000
24,1,25,BALATA ALIKER,,3,CA3C8F,000000
25,1,27,TUNNEL DIDIER ALIKER,,3,A61F84,000000
26,1,29,VOIX DE VILLE CLEMENCEAU,,3,F8A817,000000
27,1,28,ERMITAGE BOUCLE,,3,D34D9E,000000
29,1,31,ETANG ZABRICOT CLEMENCEAU,,3,AA7019,000000
30,1,32,ZAC DE RIVIERE ROCHE CLEMENCEAU,,3,CA3C8F,000000
31,1,33,CAMPUS CLEMENCEAU,,3,E90C0C,FFFFFF
32,1,100,CAMPUS POINTE SIMON,,3,000000,FFFFFF
33,1,114,CLUNY PLATEAU FOFO POINTE SIMON,,3,DE3131,000000
34,1,111,LA COLLINE POINTE SIMON,,3,000000,FFFFFF
35,1,104,RAVINE TOUZA CAMPUS,,3,BF0303,FFFFFF
36,1,112,LA DEMARCHE POINTE SIMON,,3,E81D1D,FFFFFF
37,1,211,ETANG ZABRICOT POINTE SIMON,,3,000000,FFFFFF
38,1,301,PRESQU'ILE SAINT JOSEPH,,3,000000,FFFFFF
39,1,302,CHEMEIN LABEAU BALATA ST JOSEPH,,3,000000,FFFFFF
41,1,304,DERRIERE BOIS ST JOSEPH,,3,000000,FFFFFF
43,1,10,LANGELLIER BELLEVUE NARDAL,,3,69B52E,000000
44,1,9,PETITE ZAC MONTGERALDE CLEMENCEAU,,3,8B4494,000000
45,1,105,MONASTERE ANSE MADAME CCOM BATELIERE,,3,DE1010,FFFFFF
46,1,321,RIVIER L OR BOIS DU PARC ST JOSEPH,,3,E20505,FFFFFF
47,1,320,POINTE SIMON ST JOSEPH,,3,E10C0C,FFFFFF
48,1,340,PETIT MANOIR BELEME ST JOSEPH,,3,DB1111,FFFFFF
49,1,341,GALLERIA MFME ST JOSEPH,,3,CA1010,FFFFFF
50,1,342,PETIT MANOIR PALMISTE ST JOSEPH,,3,D30606,FFFFFF
51,1,421,MANGOT VULCIN KERLYS,,3,000000,FFFFFF
52,1,422,PETIT MANOIR KERLYS,,3,D30303,FFFFFF
53,1,401,NAVETTE BOURG LAMENTIN,,3,D11B1B,FFFFFF
54,1,404,PELLETIER DAUBERT SOUDON PETIT MANOIR,,3,DF0C0C,FFFFFF
55,1,406,PELLETIER BECOUYA PETIT MANOIR,,3,E50D0D,FFFFFF
56,1,408,DUCHESNE PETIT MANOIR,,3,DE1010,FFFFFF
57,1,416,ACAJOU PETIT MANOIR,,3,DA0808,FFFFFF
58,1,440,FONDS NICOLAS PETIT MANOIR,,3,DD0000,FFFFFF
59,1,441,BELLEVUE RIVIERE CALECON PETIT MANOIR,,3,0378E6,000000
60,1,442,MORNE PAVILLON BELAIR PETIT MANOIR,,3,D30A0A,FFFFFF
61,1,402,PELLETIER RN1 PETIT MANOIR,,3,E11515,FFFFFF
62,1,426,CHU LA MEYNARD PETIT MANOIR,,3,E50B0B,FFFFFF
64,1,403,MANZELLE GRAND CASE PETIT MANOIR,,3,E90C0C,FFFFFF
65,1,212,ETANG Z ABRICOT POINTE SIMON,,3,DF0B0B,FFFFFF
66,1,308,MORNE DES OLIVES DURAND SAINT JOSEPH,,3,E71111,FFFFFF
