stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
10585,CH,Chemin Village,,14.664772,-60.984924,1,,0
20667,1578,Chemin Village,,14.664772,-60.984924,0,10585,0
10956,TTYOP,TERMINUS TEMPORAIRE YOPLAIT,,14.674807,-60.981503,1,,0
21533,TTYOPLAIT,TERMINUIS TEMPORAIRE YOPLAIT,,14.674807,-60.981503,0,10956,0
10730,YOPLAIT,Usine Yoplait,,14.675890,-60.982060,1,,0
21415,2685,Usine Yoplait,,14.675890,-60.982060,0,10730,0
11135,25-37,Saint Maurice,,14.668033,-60.994050,1,,0
20577,25-128,Saint Maurice,,14.668033,-60.994050,0,11135,0
11136,25-38,La désirade,,14.663513,-60.994427,1,,0
20575,1459,La désirade,,14.663560,-60.994445,0,11136,0
10505,GDCHAMP,Grand Champ 2,,14.655072,-60.989995,1,,0
21307,25-40,Grand Champ 2,,14.655042,-60.990090,0,10505,0
11139,25-41,Grand champ 1,,14.653890,-60.989280,1,,0
21308,25-41,Grand champ 1,,14.653890,-60.989280,0,11139,0
11079,25-42,Giratoire Durocher 1,,14.649662,-60.988930,1,,0
20580,25-133,Giratoire Durocher 1,,14.649594,-60.988867,0,11079,0
10488,DUROCH,Durocher,,14.648504,-60.988759,1,,0
21303,25-43,Durocher,,14.648523,-60.988806,0,10488,0
10489,SOUDON,Soudon 1,,14.646514,-60.989280,1,,0
21410,25-44,Soudon 1,,14.646553,-60.989291,0,10489,0
10490,LGBOIS,Long Bois n° 2,,14.639330,-60.991907,1,,0
21306,25-46,Long Bois n° 2,,14.639300,-60.991940,0,10490,0
10491,GDCAS1,Grand Case,,14.633402,-60.991398,1,,0
21298,25-47,Grand Case,,14.633400,-60.991480,0,10491,0
10782,CHMVU,Hôpital Mangot Vulcin,,14.631600,-60.989840,1,,0
21489,2786,Hôpital Mangot Vulcin,,14.631801,-60.990280,0,10782,0
10493,MAVU,Giratoire Bois carré 3,,14.623783,-60.989257,1,,0
21409,25-50,Giratoire Bois carré 3,,14.623766,-60.989297,0,10493,0
10882,CCBETER,Ctre Comm Beterbat,,14.621477,-60.988427,1,,0
21395,2651,Ctre Comm Beterbat,,14.621500,-60.988400,0,10882,0
10494,CGSS,Cgss,,14.619879,-60.988968,1,,0
21294,2534,Cgss,,14.619854,-60.988994,0,10494,0
10495,CGEDGLI,College Edouard Glissant,,14.617653,-60.988625,1,,0
21293,2533,College Edouard Glissant,,14.617673,-60.988564,0,10495,0
10496,SUCRIE,Les Sucriers,,14.615714,-60.991101,1,,0
21292,2532,Les Sucriers,,14.615788,-60.991142,0,10496,0
10497,CCPLARM,Ctre Comm Place D'armes,,14.614641,-60.993697,1,,0
21407,2674,Ctre Comm Place D'armes,,14.614689,-60.993840,0,10497,0
10498,BARRIER,Les Barrieres,,14.617493,-60.999690,1,,0
20572,1452,Les Barrieres,,14.617493,-60.999690,0,10498,0
10499,HOPILAM,Hopital,,14.615910,-60.999823,1,,0
20573,1453,Hopital,,14.615910,-60.999823,0,10499,0
10500,PEMA,Gare Petit Manoir,,14.617113,-60.995946,1,,0
20574,1454,Gare Petit Manoir,,14.617091,-60.995978,0,10500,0
20571,1451,Ctre Comm Place D'armes,,14.614593,-60.993555,0,10497,0
20570,1450,Les Sucriers,,14.615639,-60.991061,0,10496,0
20569,1449,College Edouard Glissant,,14.617632,-60.988686,0,10495,0
20568,1448,Cgss,,14.619903,-60.988941,0,10494,0
10090,CAF,Ctre Comm Beterbat,,14.621424,-60.988620,1,,0
20567,1447,Ctre Comm Beterbat,,14.621424,-60.988620,0,10090,0
20566,25-140,Giratoire Bois carré 3,,14.623800,-60.989217,0,10493,0
20884,1984,Hôpital Mangot Vulcin,,14.631400,-60.989400,0,10782,0
20564,25-137,Grand Case,,14.633405,-60.991315,0,10491,0
20563,25-136,Long Bois n° 2,,14.639359,-60.991875,0,10490,0
20562,25-135,Soudon 1,,14.646474,-60.989268,0,10489,0
20561,25-134,Durocher,,14.648485,-60.988712,0,10488,0
11077,23-A-06,Daubert,,14.658702,-60.986154,1,,0
20560,23-R-50,Daubert,,14.658628,-60.986154,0,11077,0
10583,CRBECOU,Croisée Becouya,,14.670744,-60.982612,1,,0
21499,2809,Croisée Becouya,,14.670744,-60.982612,0,10583,0
10582,CRMANZ,Croisée Manzelle,,14.669607,-60.983027,1,,0
21498,2808,Croisée Manzelle,,14.668521,-60.983456,0,10582,0
10731,CHDAUBE,Chemin Daubert,,14.667700,-60.983910,1,,0
21416,2686,Chemin Daubert,,14.667700,-60.983910,0,10731,0
10334,FOCA,Fd Cacao Pv,,14.675959,-61.060663,1,,0
20401,1275,Fd Cacao Pv,,14.675959,-61.060663,0,10334,0
10332,BOUGA18,Bougainvillier,,14.677420,-61.062566,1,,0
21003,2153,Bougainvillier,,14.677576,-61.062781,0,10332,0
10331,ALPIN18,Alpinia,,14.678492,-61.063486,1,,0
21004,2154,Alpinia,,14.678737,-61.063665,0,10331,0
10330,VANILLE,Vanille,,14.679438,-61.064977,1,,0
21005,2155,Vanille,,14.679360,-61.064806,0,10330,0
10329,BANAN18,Les Bananiers,,14.680528,-61.066609,1,,0
21006,2156,Les Bananiers,,14.680383,-61.066723,0,10329,0
10328,LASOUR,La Source,,14.676700,-61.066370,1,,0
21007,2157,La Source,,14.676758,-61.066491,0,10328,0
10327,IXORA,Ixora,,14.675165,-61.065264,1,,0
21008,2158,Ixora,,14.675059,-61.065307,0,10327,0
10326,CROTON,Croton,,14.673637,-61.065357,1,,0
21009,2159,Croton,,14.673520,-61.065248,0,10326,0
10325,CORDELI,Cordéline,,14.671865,-61.064308,1,,0
21010,2160,Cordéline,,14.671748,-61.064291,0,10325,0
10324,MANDA18,Les Mandariniers,,14.670454,-61.063520,1,,0
21011,2161,Les Mandariniers,,14.670358,-61.063539,0,10324,0
10323,ALAMA18,Alamanda,,14.668686,-61.064080,1,,0
21012,2162,Alamanda,,14.668535,-61.064131,0,10323,0
10322,CAT,Cat,,14.667212,-61.062875,1,,0
21013,2163,Cat,,14.666438,-61.062697,0,10322,0
10321,FOYENF,Foyer De L'enfance,,14.664884,-61.063458,1,,0
21014,2164,Foyer De L'enfance,,14.664899,-61.063411,0,10321,0
10320,MAHOGA,Mahogany,,14.666947,-61.057824,1,,0
21015,2165,Mahogany,,14.662413,-61.063455,0,10320,0
10823,ECRIVL6,Ecole Riviere L'or PV6,,14.661377,-61.062867,1,,0
21016,2166,Ecole Riviere L'or PV6,,14.661377,-61.062867,0,10823,0
10318,DERAIN,Derainville,,14.660120,-61.062671,1,,0
21017,2167,Derainville,,14.659932,-61.062575,0,10318,0
10317,RIBODEA,Ribodeau,,14.659035,-61.061763,1,,0
21018,2168,Ribodeau,,14.658978,-61.061688,0,10317,0
10316,VOLTIGE,Voltigeur,,14.656861,-61.060181,1,,0
21019,2169,Voltigeur,,14.656652,-61.060121,0,10316,0
10315,CAFETIE,La Cafetière,,14.655824,-61.059273,1,,0
21020,2170,La Cafetière,,14.655741,-61.059173,0,10315,0
10314,VALHEUR,Vallée Heureuse,,14.653916,-61.057851,1,,0
21021,2171,Vallée Heureuse,,14.653978,-61.057828,0,10314,0
10313,RAVVIL4,Ravine Vilaine 4Pv,,14.651006,-61.058959,1,,0
21022,2172,Ravine Vilaine 4Pv,,14.651041,-61.059014,0,10313,0
10312,RAVVIL3,Ravine Vilaine 3Pv,,14.650486,-61.059534,1,,0
21023,2173,Ravine Vilaine 3Pv,,14.650552,-61.059259,0,10312,0
10311,HAMEA18,Les Hameaux,,14.648583,-61.060435,1,,0
21024,2174,Les Hameaux,,14.648637,-61.060503,0,10311,0
10310,RAVVIL2,Ravine Vilaine 2Pv,,14.646910,-61.059455,1,,0
21025,2175,Ravine Vilaine 2Pv,,14.646812,-61.059468,0,10310,0
10309,GIBH,Giratoire Bel Horizon,,14.644122,-61.059198,1,,0
21026,2176,Giratoire Bel Horizon,,14.643951,-61.059186,0,10309,0
10308,TIRDAIL,Tire D'aile,,14.640602,-61.059325,1,,0
21027,2177,Tire D'aile,,14.640065,-61.059407,0,10308,0
10824,GRENAD,Grenade,,14.637887,-61.059512,1,,0
21028,2178,Grenade,,14.637887,-61.059512,0,10824,0
10307,DESBROS,Desbrosses,,14.635694,-61.059634,1,,0
21029,2179,Desbrosses,,14.635735,-61.059656,0,10307,0
10306,RAVVIL1,Ravine Vilaine 1Pv,,14.633385,-61.059689,1,,0
21030,2180,Ravine Vilaine 1Pv,,14.633439,-61.059702,0,10306,0
10305,BEPO,La Charmeuse,,14.631560,-61.059821,1,,0
21031,2181,La Charmeuse,,14.631707,-61.059801,0,10305,0
10233,BOCHAR,Bocharel Pv,,14.630135,-61.059863,1,,0
20939,2083,Bocharel Pv,,14.630387,-61.059874,0,10233,0
10232,PCANAR,Patte De Canard,,14.626156,-61.060070,1,,0
