source,source_id,url,categorie,titre,texte_creole,texte_fr,audio_url,hashtags,date_publication
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/toufe/,lexique,Toufé,"Toufé, c’est étouffer, ou couvrir selon le contexte. C’est aussi un geste culinaire. #verbe #pawol #manjé #touféyenyen",,,"['#verbe', '#pawol', '#manjé', '#touféyenyen']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/tou-sel/,lexique,Tou sel,"En Martinique pour traduire “je suis seule”, on dira “man la tou sel”. On n‘entendra jamais quelqu’un dire “man sel”. #solitude #seule #kréyòl",,,"['#solitude', '#seule', '#kréyòl']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/toloman/,lexique,Toloman,"Le toloman, de son nom scientifique Canna Indica est une plante répandue dans toutes les régions tropicales du globe. Appelé « Conflore » à l’île de la Réunion on le retrouve aussi sous le nom de « Balisier rouge ». #plante #cannaindica #toloman #diktam",,,"['#plante', '#cannaindica', '#toloman', '#diktam']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/tjire/,lexique,Tjiré,"En français, on peut se brosser les dents ou les cheveux, pas avec la même brosse mais avec le même verbe. En créole ou pé tjiré dan’w, toutefois le même verbe ne s’utilisera pas pour les cheveux. #tjiré",,,['#tjiré'],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/titiri-san-paran/,lexique,Titiri san paran,"« En créole, « Le nom « Titiri » désigne « l’alevin », espèce emblématique des embouchures de rivières et des littoraux humides. On l’appelle encore pisièt.",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/ti-bway/,lexique,Ti bway,"Tibway ou tibay, tibray, vient de “boy”, ce mot anglais qui signifie garçon, gamin, voire p’tit morveux selon le contexte ou du moins l’âge du garçon en question. #gason #tibway #tiboy #pawol",,,"['#gason', '#tibway', '#tiboy', '#pawol']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/tjou-pou-tet/,lexique,Tjou pou tet,"Littéralement cul par dessus tête, disons tête en bas. A l’envers? Bien des réalités du monde se retrouvent dans cette posture.",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/soukounian/,lexique,Soukounian,"Vous voyez, ce voisin, ordinaire, que vous saluez le matin l’air de rien ? Peut-être est-il un soukounian. Peut-être qu’à la nuit tombée, il effectue des rituels magiques pour enlever sa peau humaine au pied d’un fromager qui lui sert de porte manteau. #magicoreligieux #soukounian",,,"['#magicoreligieux', '#soukounian']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/sire/,lexique,Sirè,"Ce terme souvent employé pour caractériser les enfants l’est aussi pour les personnes âgées, car finalement à ces deux époques de la vie, on n’en fait qu’à sa tête. On est sirè, embêtant, turbulente, taquin.",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/pies/,lexique,Pies,,,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/petrolet/,lexique,Pétrolet,"Il y a pétroleuse, motocyclette et pétrolette. #navette #littoral #traverser #bateau #pétrolet",,,"['#navette', '#littoral', '#traverser', '#bateau', '#pétrolet']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/palantje/,lexique,Palantjé,"Palantjé peut signifier hisser, soulever, projeter dans les airs, relever la tête mais aussi promouvoir. On l’utilise souvent pour évoquer la nécessité, et même l’urgence de préserver le patrimoine culturel.",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/padavwa/,lexique,Padavwa,Pourquoi dit-on padavwa? Eh bien euh … parce que. #padavwa #davwè #davwa #pas,,,"['#padavwa', '#davwè', '#davwa', '#pas']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/obidjoul/,lexique,Obidjoul,"Dans le dictionnaire, Bidjoul se traduit par mignon, joli. #obidjoul #parfait #impeccable",,,"['#obidjoul', '#parfait', '#impeccable']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/mezanmi/,lexique,Mézanmi épi woy,"Interjection issue du Wolòf sénégalais, woy marque la colère et l’exaspération (Woy ! lésé mwen trantjil ! > Allez, laissez-moi tranquille) Mais il peut aussi exprimer l’émerveillement, l’ironie, la stupeur, la surprise, ou même la fascination. (ex: Woy woy woy !! fout manzel ni bel rad!)",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/luil/,lexique,Luil,,,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/larel/,lexique,Larel,"An larel, c’est un positionnement. Un axe qui situe et définit un genre de ligne de conduite #société #larel #position",,,"['#société', '#larel', '#position']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/lanm/,lexique,Lanm,"En Martinique, quand il fait mauvais temps, les flots peuvent être aussi tranchantes que la lame d’un couteau. Mais il n’est pas rare de voir des intrépides sur une planche de surf ou un bwa flo prendre la vague. #lanm #lanmè #pawol",,,"['#lanm', '#lanmè', '#pawol']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/laverite/,lexique,Lavérité,"Ce à quoi l’esprit peut et doit donner son assentiment Connaissance conforme au réel Conformité au sentiment de la réalité. Idée ou proposition qui mérite ou emporte un assentiment entier. Conviction, évidence Expression sincère et vraie, bonne foi. Un accent, un air de vérité, de sincérité. Lavérité La preuve! ça tu peux le dire ! #interjection #lavérité #pawol #samounkadi",,,"['#interjection', '#lavérité', '#pawol', '#samounkadi']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/kole-tet/,lexique,Kolé tet,"Kolétèt kolé zépòl c’est un peu comme se serrer les coudes, sauf qu’il est ici question de tête et d’épaules! #solidarité #entraide #ansanm #ansanmansanm",,,"['#solidarité', '#entraide', '#ansanm', '#ansanmansanm']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/jan/,lexique,Jan,"Habiter ne suffit pas pour être gens de quelque part. Il faut occuper un lieu depuis des générations pour devenir an jan St Esprit, jan Lanmanten, jan Voklen… A ne pas confondre avec moun Dikos, moun Omaren #lieu #koté #habiter #rété #habitants #moun #jan",,,"['#lieu', '#koté', '#habiter', '#rété', '#habitants', '#moun', '#jan']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/grif-an-te/,lexique,Grif an tè,"Entre 1979 et 1983, le premier journal martiniquais entièrement en créole s’intitule Grif an tè. #militan #activisme #matinik #matnik #militantisme #journal #expression",,,"['#militan', '#activisme', '#matinik', '#matnik', '#militantisme', '#journal', '#expression']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/gran-moun/,lexique,Gran moun,"Une personne, en créole, c’est An moun. Associé à gran, ça donne gran moun. Nos aîné.es #granmoun #moun",,,"['#granmoun', '#moun']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/gad/,lexique,Gad,"Plaie à la jambe qui ne cicatrise pas, gad se dit également “mapianm”. #santé #ja #gad",,,"['#santé', '#ja', '#gad']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/fenyan/,lexique,Fenyan pa ka niché dwet-li,"An fenyan c’est un fainéant, un paresseux. Fenyan pa ka niché dwet : selon ce proverbe, Les fainéants ne se lèchent pas les doigts eux. #proverbe #tipawol #pawolkout #kréyòl",,,"['#proverbe', '#tipawol', '#pawolkout', '#kréyòl']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/ek/,lexique,Ek,"Dans “avec”, il y a ek. Le créole martiniquais a gardé cette petite syllabe pour dire exactement la même chose. En Guadeloupe, c’est le début qui a été préservé. #avec #conjonction #coordination #ensemble #ek #épi",,,"['#avec', '#conjonction', '#coordination', '#ensemble', '#ek', '#épi']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/doukwe/,lexique,Doukwé,,,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/doudou/,lexique,Doudou,"Le doudouisme est l’expression péjorative qui qualifie un mouvement littéraire abusant d’une représentation convenue, dans la littérature française, de la réalité de la France d’outre-mer, en particulier des Antilles françaises. Bref, les colonies. Une exotisation des femmes, en madras, dansant la biguine, débordantes de sourires #doudou #répétition #dé #littérature",,,"['#doudou', '#répétition', '#dé', '#littérature']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/djoubate/,lexique,Djoubaté,"An djoubak c’est un travail dur. Djoubaké ou djoubaté, c’est travailler, mais aussi lutter, se démener, se débattre. Un travail mené avec une ferveur particulière. #travail #djoubaté #lutte #ladja",,,"['#travail', '#djoubaté', '#lutte', '#ladja']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/desequede/,lexique,Desequede,"De Se Que De, trois absentes de la langue créole mais que l’on retrouve liannées dans l’expression Desequede, qui désigne quelqu’un qui se croit au dessus des autres, souvent dans un rapport de classe.",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/balanse/,lexique,Balansé,"A ne pas confondre avec balansin (balancement ou balançoire), c’est un verbe qui peut vouloir dire se balancer avec une idée de mouvement lent d’un côté, puis d’un autre. Ou suggérer un mouvement rapide #balansé #palé #kréyòl #balan #anmouvman",,,"['#balansé', '#palé', '#kréyòl', '#balan', '#anmouvman']",2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/blo/,lexique,Blo,"Pour illustrer la dureté d’une chute, un bruit sourd, un choc, le blo surgit dans la langue créole. Exemple : I fouté kò’y atè blo (Il est tombé patatra) Ce “blo”nous vient de l’interjection ‘G’blo’ très usitée dans tout l’Afrique de l’ouest (g’blo ou n’blo traduisent le mot « choc »).",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/tjek-pa/,lexique,Tjèk pa,"Introduction Un dialogue avec divers sites du conservatoire du littoral et des monuments historiques ferait aussi partie de cette création. Comment sont vus, vécus, compris ces paysages par celleux qui les côtoient ? Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras a dui dapibus, vestibulum leo eu, gravida orci. Nulla ex lectus, sollicitudin consequat risus vitae, maximus sodales ipsum. Phasellus faucibus eros eros, at placerat sapien dictum eget. Sed eget tincidunt est. Vivamus nisi mi, semper a dolor bibendum, laoreet bibendum sapien. Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras a dui dapibus, vestibulum leo eu, gravida orci. Nulla ex lectus, sollicitudin consequat risus vitae, maximus sodales ipsum. Phasellus faucibus eros eros, at placerat sapien dictum eget. Sed eget tincidunt est. Vivamus nisi mi, semper a dolor bibendum, laoreet bibendum sapien.",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/bwa-pou-nou-ale/,lexique,Bwa pou nou alé,"Le bois est un combustible fondamental pour animer le feu de la vibration martiniquaise. On le scie Siyé bwa, on le brûle, bay chabon! Ou il sert à tenir le cap comme un gouvernail, bwa drésé. Bwa pou nou alé se traduit littéralement par bois pour avancer.",,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/anmizianmizi/,lexique,Anmizianmizi,L’expression « au fur et à mesure » double le sens de chaque terme ; « au fur » et « à mesure » signifient la même chose. Un pléonasme qui devient répétition en créole.,,,[],2022-12-03
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/anhan/,lexique,Anhan,"Il n’est pas certain que toutes les onomatopées du créole aient toujours une traduction littérale car certaines émotions ne se décrivent pas aisément. En fonction des situations ou de l’intonation, il y a un certain degré d’adaptation et d’improvisation et donc d’interprétation.",,,[],2022-12-02
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/an-didan/,lexique,Andidan,"Ce qui vient de l’extérieur, andéwò, trouve un écho souvent démesuré andidan. On pourrait dire dans les esprits et à l’intérieur même des foyers.",,,[],2022-12-02
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/manje-lokal/,societe,Manjé lokal,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/dlo/,societe,Dlo,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/ti-boutik/,societe,Ti boutik,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/obsekisa/,creation,ObsèKisa,"Textes, enregistrements, réalisation : Simone Lagrand Création sonore : Marc Parazon",,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/welto/,creation,Welto,"Avec Welto, c’est un geste échappé au temps, qui se dessine, laissant le contexte parfois à distance. S’appuyant sur un dispositif panoramique, la pièce sonore se révèle tel un manifeste. Textes, enregistrements, réalisation : Simone Lagrand Création sonore : Marc Parazon",,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/twazaviwon/,extraits,Twazaviwon,,,,[],2022-12-06
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/solidarite/,extraits,Solidarité,,,,[],2022-12-06
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/soleyleve/,extraits,Solèy lévé,,,,[],2022-12-06
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/papa/,extraits,Papa,,,,[],2022-12-06
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/paretela/,extraits,Pa rété la,,,,[],2022-12-06
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/nou-pa-te-la/,extraits,Nou pa té la,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/manpakreyol/,extraits,Man pa kréyòl,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/mannianwote/,extraits,Man ni an wotè,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/machannpwason/,extraits,Machann pwason,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/lekol/,extraits,Lékòl,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/ladjey/,extraits,Ladjé’y,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/katjile/,extraits,Katjilé,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/fransebannann/,extraits,Fransé bannann,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/dominobellefontaine/,extraits,Domino Bellefontaine,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/diaspora/,extraits,Diaspora,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/couventineaffranchie/,extraits,Couventine affranchie,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/chantekont/,extraits,Chanté kont,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/apal/,extraits,Apal,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/antigraten/,extraits,An ti graten,,,,[],2022-12-05
pawolotek.com,1,https://pawolotek.com/index.php/podcast-item/fanmi/,extraits,Fanmi,,,,[],2022-12-05
