titre,horaires,source
L'Ultime Héritier,16h30 | 19h00 | 21h30,Madiana
Les Fractures invisibles,13h45 | 16h00 | 18h00 | 20h00 | 22h00,Madiana
They Will Kill You,14h30 | 17h15 | 19h45 | 22h00 | 19h00,Madiana
Un jour avec mon père,19h00 | 14h00,Madiana
Walter Lapin,14h00,Madiana
David,09h30 | 09h30 | 11h20 | 14h00 | 16h30,Madiana
Projet dernière chance,13h30 | 16h45 | 20h15 | 14h30 | 21h45,Madiana
Reminders Of Him,14h30 | 21h45 | 16h15 | 18h45,Madiana
Jumpers,16h15 | 18h45 | 14h15 | 17h00 | 19h30,Madiana
Scream 7,14h15 | 17h00 | 19h30 | 22h00 | 22h00,Madiana
Cold Storage,22h00 | 13h45 | 17h00 | 19h15,Madiana
L'Infiltrée,13h45 | 17h00 | 19h15 | 21h15,Madiana
Send Help,21h15 | 14h00,Madiana
À pied d'œuvre,14h00 | 14h00 | 16h45 | 19h15 | 21h30,Madiana
Marsupilami,14h00 | 16h45 | 19h15 | 21h30,Madiana
Avatar : de Feu et de Cendres,16h00 | 20h00,Madiana
